series_id,date,units_sold,price,marketing_spend,promotion_flag
SS_A|Electronic accessories,2019-01-01,10,74.22,0.0,0
SS_A|Electronic accessories,2019-01-05,7,93.88,0.0,0
SS_A|Electronic accessories,2019-01-07,4,77.72,0.0,0
SS_A|Electronic accessories,2019-01-08,7,62.81,0.0,0
SS_A|Electronic accessories,2019-01-12,10,88.67,0.0,0
SS_A|Electronic accessories,2019-01-13,6,23.46,0.0,0
SS_A|Electronic accessories,2019-01-15,9,60.88,0.0,0
SS_A|Electronic accessories,2019-01-18,5,26.31,0.0,0
SS_A|Electronic accessories,2019-01-19,3,11.94,0.0,0
SS_A|Electronic accessories,2019-01-23,6,66.06,0.0,0
SS_A|Electronic accessories,2019-01-24,16,29.59,0.0,0
SS_A|Electronic accessories,2019-01-25,9,26.23,0.0,0
SS_A|Electronic accessories,2019-01-26,7,51.69,0.0,0
SS_A|Electronic accessories,2019-01-27,1,73.26,0.0,0
SS_A|Electronic accessories,2019-01-28,8,24.18,0.0,0
SS_A|Electronic accessories,2019-01-29,1,38.6,0.0,0
SS_A|Electronic accessories,2019-01-30,3,93.78,0.0,0
SS_A|Electronic accessories,2019-01-31,5,29.89,0.0,0
SS_A|Electronic accessories,2019-02-04,15,51.37,0.0,0
SS_A|Electronic accessories,2019-02-05,2,20.89,0.0,0
SS_A|Electronic accessories,2019-02-07,1,28.96,0.0,0
SS_A|Electronic accessories,2019-02-12,5,46.95,0.0,0
SS_A|Electronic accessories,2019-02-13,5,41.16,0.0,0
SS_A|Electronic accessories,2019-02-14,8,99.56,0.0,0
SS_A|Electronic accessories,2019-02-17,5,34.56,0.0,0
SS_A|Electronic accessories,2019-02-18,1,62.48,0.0,0
SS_A|Electronic accessories,2019-02-19,9,69.58,0.0,0
SS_A|Electronic accessories,2019-02-21,3,94.64,0.0,0
SS_A|Electronic accessories,2019-02-22,10,17.42,0.0,0
SS_A|Electronic accessories,2019-02-24,10,40.26,0.0,0
SS_A|Electronic accessories,2019-02-25,6,68.84,0.0,0
SS_A|Electronic accessories,2019-02-26,2,46.61,0.0,0
SS_A|Electronic accessories,2019-02-27,7,92.6,0.0,0
SS_A|Electronic accessories,2019-03-01,10,45.48,0.0,0
SS_A|Electronic accessories,2019-03-05,3,78.31,0.0,0
