CustomerID,first_purchase,last_purchase,frequency,monetary_value,tenure_days,recency_days,avg_order_value
12346,2011-01-18 10:01:00,2011-01-18 10:01:00,1,77183.6,233,233,77183.6
12347,2010-12-07 14:57:00,2011-08-02 08:48:00,5,2790.86,275,37,558.17
12348,2010-12-16 19:09:00,2011-04-05 10:47:00,3,1167.24,266,156,389.08
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,294.4,218,218,294.4
12352,2011-02-16 12:33:00,2011-03-22 16:08:00,4,641.51,204,170,160.38
12353,2011-05-19 17:47:00,2011-05-19 17:47:00,1,89.0,112,112,89.0
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,140,140,1079.4
12355,2011-05-09 13:49:00,2011-05-09 13:49:00,1,459.4,122,122,459.4
12356,2011-01-18 09:50:00,2011-04-08 12:33:00,2,2429.08,233,153,1214.54
12358,2011-07-12 10:04:00,2011-07-12 10:04:00,1,404.86,58,58,404.86
12359,2011-01-12 12:43:00,2011-06-03 12:26:00,3,3495.73,239,97,1165.24
12360,2011-05-23 09:43:00,2011-08-19 10:10:00,2,1378.28,108,20,689.14
12361,2011-02-25 13:51:00,2011-02-25 13:51:00,1,174.9,195,195,174.9
12362,2011-02-17 10:30:00,2011-08-11 15:02:00,4,1582.35,203,28,395.59
12363,2011-04-11 13:29:00,2011-08-22 10:18:00,2,552.0,150,17,276.0
12364,2011-08-19 15:24:00,2011-08-19 15:24:00,1,578.92,20,20,578.92
12365,2011-02-21 13:51:00,2011-02-21 13:51:00,1,320.69,199,199,320.69
12370,2010-12-14 12:58:00,2011-03-10 12:48:00,3,2682.66,268,182,894.22
12372,2011-02-16 12:46:00,2011-05-11 10:43:00,2,842.92,204,120,421.46
12373,2011-02-01 13:10:00,2011-02-01 13:10:00,1,324.6,219,219,324.6
12375,2011-09-02 14:23:00,2011-09-02 14:23:00,1,190.3,6,6,190.3
12377,2010-12-20 09:37:00,2011-01-28 15:45:00,2,1548.12,262,223,774.06
12378,2011-08-02 10:34:00,2011-08-02 10:34:00,1,4008.62,37,37,4008.62
12379,2011-06-22 16:32:00,2011-06-22 16:32:00,1,414.84,78,78,414.84
12380,2011-06-07 09:49:00,2011-06-07 09:49:00,1,562.55,93,93,562.55
12381,2011-08-12 09:57:00,2011-08-12 09:57:00,1,1028.74,27,27,1028.74
12383,2010-12-22 14:28:00,2011-06-08 08:02:00,5,1628.56,260,92,325.71
12384,2011-08-10 11:23:00,2011-08-10 11:23:00,1,212.69,29,29,212.69
12386,2010-12-08 09:53:00,2011-01-06 12:37:00,2,401.9,274,245,200.95
12388,2011-01-17 11:12:00,2011-07-14 13:28:00,4,1668.34,234,56,417.08
12393,2011-01-11 09:47:00,2011-04-08 09:45:00,3,1061.1,240,153,353.7
12394,2011-05-06 14:01:00,2011-05-06 14:01:00,1,351.08,125,125,351.08
12395,2010-12-03 16:35:00,2011-08-19 15:18:00,8,1674.57,279,20,209.32
12397,2011-07-27 14:21:00,2011-07-27 14:21:00,1,1109.81,43,43,1109.81
12399,2011-03-23 09:42:00,2011-08-12 13:15:00,4,1033.65,169,27,258.41
12401,2011-02-09 13:50:00,2011-02-09 13:50:00,1,69.3,211,211,69.3
12402,2011-01-20 13:49:00,2011-01-20 13:49:00,1,195.6,231,231,195.6
12405,2011-07-14 08:52:00,2011-07-14 08:52:00,1,1390.39,56,56,1390.39
12406,2011-06-09 10:23:00,2011-06-09 10:23:00,1,1621.25,91,91,1621.25
12407,2011-03-20 13:21:00,2011-07-28 16:28:00,4,1242.36,172,42,310.59
12408,2011-03-24 14:46:00,2011-09-02 10:27:00,4,1939.05,168,6,484.76
12409,2011-06-10 12:19:00,2011-06-10 12:19:00,1,6207.08,90,90,6207.08
12410,2011-02-04 10:38:00,2011-02-04 10:39:00,2,533.33,216,216,266.67
12412,2011-06-23 13:51:00,2011-07-25 11:17:00,2,836.74,77,45,418.37
12413,2011-01-06 16:12:00,2011-04-17 15:33:00,2,509.9,245,144,254.95
12414,2011-02-02 14:51:00,2011-05-06 14:51:00,3,442.41,218,125,147.47
12415,2011-01-06 11:12:00,2011-09-01 13:51:00,14,101737.88,245,7,7266.99
