series_id,date,units_sold,price,marketing_spend,promotion_flag
UCI_15036,2010-12-02,48,0.75,0.0,0
UCI_15036,2010-12-03,15,0.86,0.0,0
UCI_15036,2010-12-05,12,0.75,0.0,0
UCI_15036,2010-12-06,4,1.28,0.0,0
UCI_15036,2010-12-08,13,0.79,0.0,0
UCI_15036,2010-12-09,1,1.28,0.0,0
UCI_15036,2010-12-10,3,1.28,0.0,0
UCI_15036,2010-12-13,4,1.28,0.0,0
UCI_15036,2010-12-14,12,0.75,0.0,0
UCI_15036,2010-12-16,12,0.75,0.0,0
UCI_15036,2010-12-17,7,1.28,0.0,0
UCI_15036,2010-12-20,6,1.28,0.0,0
UCI_15036,2010-12-21,24,0.75,0.0,0
UCI_15036,2011-01-06,13,0.79,0.0,0
UCI_15036,2011-01-07,5,1.28,0.0,0
UCI_15036,2011-01-10,19,1.28,0.0,0
UCI_15036,2011-01-11,12,0.75,0.0,0
UCI_15036,2011-01-12,4,1.28,0.0,0
UCI_15036,2011-01-13,121,0.75,0.0,0
UCI_15036,2011-01-14,3,1.25,0.0,0
UCI_15036,2011-01-17,15,1.25,0.0,0
UCI_15036,2011-01-19,12,0.75,0.0,0
UCI_15036,2011-01-23,12,0.75,0.0,0
UCI_15036,2011-01-24,3,1.25,0.0,0
UCI_15036,2011-01-25,48,0.75,0.0,0
UCI_15036,2011-01-26,12,0.75,0.0,0
UCI_15036,2011-01-27,48,0.75,0.0,0
UCI_15036,2011-01-28,1,1.25,0.0,0
UCI_15036,2011-01-31,649,0.56,0.0,0
UCI_15036,2011-02-01,36,0.75,0.0,0
UCI_15036,2011-02-02,4,1.25,0.0,0
UCI_15036,2011-02-03,12,1.25,0.0,0
UCI_15036,2011-02-04,1212,0.65,0.0,0
UCI_15036,2011-02-08,1,1.63,0.0,0
UCI_15036,2011-02-09,31,1.63,0.0,0
UCI_15036,2011-02-13,36,0.75,0.0,0
UCI_15036,2011-02-14,4,1.63,0.0,0
UCI_15036,2011-02-15,60,0.75,0.0,0
UCI_15036,2011-02-16,637,0.69,0.0,0
UCI_15036,2011-02-17,24,0.75,0.0,0
UCI_15036,2011-02-18,13,0.82,0.0,0
UCI_15036,2011-02-20,24,0.75,0.0,0
UCI_15036,2011-02-22,24,0.75,0.0,0
UCI_15036,2011-02-23,20,1.1,0.0,0
UCI_15036,2011-02-24,36,0.75,0.0,0
UCI_15036,2011-02-25,48,0.75,0.0,0
UCI_15036,2011-02-28,38,0.8,0.0,0
UCI_15036,2011-03-01,16,0.97,0.0,0
UCI_15036,2011-03-03,7,1.63,0.0,0
UCI_15036,2011-03-04,30,1.63,0.0,0
UCI_15036,2011-03-07,45,0.79,0.0,0
UCI_15036,2011-03-08,4,1.63,0.0,0
UCI_15036,2011-03-09,84,0.75,0.0,0
UCI_15036,2011-03-10,224,0.75,0.0,0
UCI_15036,2011-03-13,12,0.75,0.0,0
UCI_15036,2011-03-14,12,0.75,0.0,0
UCI_15036,2011-03-16,48,0.75,0.0,0
UCI_15036,2011-03-17,634,0.7,0.0,0
UCI_15036,2011-03-18,612,0.65,0.0,0
UCI_15036,2011-03-20,36,0.75,0.0,0
UCI_15036,2011-03-21,24,0.75,0.0,0
UCI_15036,2011-03-22,51,1.63,0.0,0
UCI_15036,2011-03-27,24,0.75,0.0,0
UCI_15036,2011-03-28,28,0.88,0.0,0
UCI_15036,2011-03-30,1212,0.69,0.0,0
UCI_15036,2011-03-31,1,1.63,0.0,0
UCI_15036,2011-04-01,12,0.83,0.0,0
UCI_15036,2011-04-04,6,1.63,0.0,0
UCI_15036,2011-04-07,48,0.75,0.0,0
UCI_15036,2011-04-08,93,0.95,0.0,0
UCI_15036,2011-04-11,12,0.83,0.0,0
UCI_15036,2011-04-12,12,0.83,0.0,0
UCI_15036,2011-04-13,684,0.73,0.0,0
UCI_15036,2011-04-14,24,0.83,0.0,0
UCI_15036,2011-04-15,12,0.83,0.0,0
UCI_15036,2011-04-17,120,0.83,0.0,0
UCI_15036,2011-04-18,47,1.02,0.0,0
UCI_15036,2011-04-19,78,0.89,0.0,0
UCI_15036,2011-04-20,48,0.83,0.0,0
UCI_15036,2011-04-21,1,0.83,0.0,0
UCI_15036,2011-04-26,615,0.72,0.0,0
UCI_15036,2011-04-27,94,0.92,0.0,0
UCI_15036,2011-04-28,60,0.72,0.0,0
UCI_15036,2011-05-01,24,0.83,0.0,0
UCI_15036,2011-05-03,221,0.85,0.0,0
UCI_15036,2011-05-05,665,0.74,0.0,0
UCI_15036,2011-05-06,74,0.85,0.0,0
UCI_15036,2011-05-08,12,0.83,0.0,0
UCI_15036,2011-05-09,306,0.83,0.0,0
UCI_15036,2011-05-10,266,0.83,0.0,0
UCI_15036,2011-05-11,70,0.83,0.0,0
UCI_15036,2011-05-12,939,0.71,0.0,0
UCI_15036,2011-05-13,25,0.83,0.0,0
UCI_15036,2011-05-15,12,0.83,0.0,0
UCI_15036,2011-05-16,124,0.84,0.0,0
UCI_15036,2011-05-17,601,0.72,0.0,0
UCI_15036,2011-05-18,720,0.74,0.0,0
UCI_15036,2011-05-19,78,0.89,0.0,0
UCI_15036,2011-05-20,12,0.83,0.0,0
UCI_15036,2011-05-22,108,0.83,0.0,0
UCI_15036,2011-05-23,60,0.83,0.0,0
UCI_15036,2011-05-24,118,1.47,0.0,0
UCI_15036,2011-05-25,15,1.63,0.0,0
UCI_15036,2011-05-26,144,0.83,0.0,0
UCI_15036,2011-05-27,48,0.83,0.0,0
UCI_15036,2011-05-29,12,0.83,0.0,0
UCI_15036,2011-05-31,30,1.63,0.0,0
UCI_15036,2011-06-01,26,0.89,0.0,0
UCI_15036,2011-06-02,97,0.77,0.0,0
UCI_15036,2011-06-03,40,0.91,0.0,0
UCI_15036,2011-06-06,27,0.92,0.0,0
UCI_15036,2011-06-07,136,1.35,0.0,0
UCI_15036,2011-06-08,672,0.67,0.0,0
UCI_15036,2011-06-09,762,0.75,0.0,0
UCI_15036,2011-06-10,1,1.63,0.0,0
UCI_15036,2011-06-12,12,0.83,0.0,0
UCI_15036,2011-06-13,83,0.94,0.0,0
UCI_15036,2011-06-14,68,1.63,0.0,0
UCI_15036,2011-06-15,12,0.83,0.0,0
UCI_15036,2011-06-16,1026,0.77,0.0,0
UCI_15036,2011-06-17,36,0.83,0.0,0
UCI_15036,2011-06-19,60,0.83,0.0,0
UCI_15036,2011-06-20,18,1.1,0.0,0
UCI_15036,2011-06-21,38,1.12,0.0,0
UCI_15036,2011-06-22,36,0.83,0.0,0
UCI_15036,2011-06-23,49,0.85,0.0,0
UCI_15036,2011-06-24,16,1.03,0.0,0
UCI_15036,2011-06-26,12,0.83,0.0,0
UCI_15036,2011-06-27,72,0.83,0.0,0
UCI_15036,2011-06-28,12,0.83,0.0,0
UCI_15036,2011-06-29,5,1.63,0.0,0
UCI_15036,2011-06-30,30,0.99,0.0,0
UCI_15036,2011-07-01,24,0.83,0.0,0
UCI_15036,2011-07-03,24,0.83,0.0,0
UCI_15036,2011-07-04,35,1.08,0.0,0
UCI_15036,2011-07-05,1846,0.73,0.0,0
UCI_15036,2011-07-06,38,0.87,0.0,0
UCI_15036,2011-07-07,19,1.12,0.0,0
UCI_15036,2011-07-11,156,0.83,0.0,0
UCI_15036,2011-07-12,36,0.83,0.0,0
UCI_15036,2011-07-14,97,0.84,0.0,0
UCI_15036,2011-07-15,3,1.63,0.0,0
UCI_15036,2011-07-17,60,0.83,0.0,0
UCI_15036,2011-07-18,173,0.85,0.0,0
UCI_15036,2011-07-19,12,0.83,0.0,0
UCI_15036,2011-07-20,73,1.1,0.0,0
UCI_15036,2011-07-21,72,0.83,0.0,0
UCI_15036,2011-07-22,24,0.83,0.0,0
UCI_15036,2011-07-24,156,0.83,0.0,0
UCI_15036,2011-07-25,9,1.63,0.0,0
UCI_15036,2011-07-26,5,1.63,0.0,0
UCI_15036,2011-07-29,624,0.72,0.0,0
UCI_15036,2011-08-01,48,0.83,0.0,0
UCI_15036,2011-08-02,12,0.83,0.0,0
UCI_15036,2011-08-04,745,0.74,0.0,0
UCI_15036,2011-08-05,114,1.46,0.0,0
UCI_15036,2011-08-07,24,0.83,0.0,0
UCI_15036,2011-08-08,17,1.07,0.0,0
UCI_15036,2011-08-09,3,1.63,0.0,0
UCI_15036,2011-08-10,50,0.86,0.0,0
UCI_15036,2011-08-11,48,0.83,0.0,0
UCI_15036,2011-08-12,150,0.86,0.0,0
UCI_15036,2011-08-16,12,0.83,0.0,0
UCI_15036,2011-08-17,12,0.83,0.0,0
