date,festival,festival_type,is_national_holiday,observed_in
2019-01-15,Pongal,religious_hindu,False,TN
2019-01-15,Uttarayan,other_holiday,False,GJ
2019-01-16,Thiruvalluvar Day / Mattu Pongal,religious_hindu,False,TN
2019-01-17,Uzhavar Thirunal,other_holiday,False,TN
2019-01-24,UP Formation Day,other_holiday,False,UP
2019-01-26,Republic Day,national_civic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2019-02-19,Chhatrapati Shivaji Maharaj Jayanti,other_holiday,False,MH
2019-03-04,Maha Shivaratri,other_holiday,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2019-03-21,Holi,religious_hindu,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2019-04-06,Gudi Padwa,religious_hindu,False,MH
2019-04-06,Ugadi,religious_hindu,False,KA
2019-04-13,Ram Navami,religious_hindu,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2019-04-14,Dr. B. R. Ambedkar's Birthday,other_holiday,True,"DL,GJ,IN,KA,KL,MH,UP,WB"
2019-04-14,Dr. B. R. Ambedkar's Birthday; Puthandu (Tamil New Year),other_holiday,True,TN
2019-04-15,Pohela Boishakh,other_holiday,False,WB
2019-04-17,Mahavira's Birthday,religious_jain,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2019-04-19,Good Friday,religious_christian,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2019-05-01,Gujarat Day,other_holiday,False,GJ
2019-05-01,Maharashtra Day,other_holiday,False,MH
2019-05-09,Rabindra Jayanti,other_holiday,False,WB
2019-05-18,Buddha Purnima,religious_buddhist,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2019-06-05,Eid al-Fitr,religious_islamic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2019-08-12,Eid al-Adha,religious_islamic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2019-08-15,Independence Day,national_civic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2019-08-17,Parsi New Year (Shahenshahi),other_holiday,False,"GJ,MH"
2019-08-24,Janmashtami (Vaishnava),religious_hindu,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2019-09-02,Ganesh Chaturthi,religious_hindu,False,MH
2019-09-10,Ashura,religious_islamic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2019-09-11,Onam,religious_hindu,False,KL
2019-10-02,Mahatma Gandhi's Birthday,national_civic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2019-10-08,Dussehra,religious_hindu,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2019-10-27,Diwali (Deepavali),religious_hindu,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2019-10-28,Gujarati New Year,other_holiday,False,GJ
2019-10-31,Sardar Vallabhbhai Patel Jayanti,other_holiday,False,GJ
2019-11-01,Karnataka Rajyotsava,other_holiday,False,KA
2019-11-01,Kerala Foundation Day,other_holiday,False,KL
2019-11-02,Chhath Puja,religious_hindu,False,UP
