month,repo_rate_pct,repo_rate_change
2019-02-01,6.25,0.0
2019-03-01,6.25,0.0
2019-04-01,6.0,-0.25
2019-05-01,6.0,0.0
2019-06-01,5.75,-0.25
2019-07-01,5.75,0.0
2019-08-01,5.4,-0.35
2019-09-01,5.4,0.0
2019-10-01,5.15,-0.25
2019-11-01,5.15,0.0
2019-12-01,5.15,0.0
2020-01-01,5.15,0.0
2020-02-01,5.15,0.0
2020-03-01,4.4,-0.75
2020-04-01,4.4,0.0
2020-05-01,4.0,-0.4
2020-06-01,4.0,0.0
2020-07-01,4.0,0.0
2020-08-01,4.0,0.0
2020-09-01,4.0,0.0
2020-10-01,4.0,0.0
2020-11-01,4.0,0.0
2020-12-01,4.0,0.0
2021-01-01,4.0,0.0
2021-02-01,4.0,0.0
2021-03-01,4.0,0.0
2021-04-01,4.0,0.0
2021-05-01,4.0,0.0
2021-06-01,4.0,0.0
2021-07-01,4.0,0.0
2021-08-01,4.0,0.0
2021-09-01,4.0,0.0
2021-10-01,4.0,0.0
2021-11-01,4.0,0.0
2021-12-01,4.0,0.0
2022-01-01,4.0,0.0
2022-02-01,4.0,0.0
2022-03-01,4.0,0.0
2022-04-01,4.0,0.0
2022-05-01,4.4,0.4
2022-06-01,4.9,0.5
2022-07-01,4.9,0.0
2022-08-01,5.4,0.5
2022-09-01,5.9,0.5
2022-10-01,5.9,0.0
2022-11-01,5.9,0.0
2022-12-01,6.25,0.35
2023-01-01,6.25,0.0
2023-02-01,6.5,0.25
2023-03-01,6.5,0.0
2023-04-01,6.5,0.0
2023-05-01,6.5,0.0
2023-06-01,6.5,0.0
2023-07-01,6.5,0.0
2023-08-01,6.5,0.0
2023-09-01,6.5,0.0
2023-10-01,6.5,0.0
2023-11-01,6.5,0.0
2023-12-01,6.5,0.0
2024-01-01,6.5,0.0
2024-02-01,6.5,0.0
2024-03-01,6.5,0.0
2024-04-01,6.5,0.0
2024-05-01,6.5,0.0
2024-06-01,6.5,0.0
2024-07-01,6.5,0.0
2024-08-01,6.5,0.0
2024-09-01,6.5,0.0
2024-10-01,6.5,0.0
2024-11-01,6.5,0.0
2024-12-01,6.5,0.0
2025-01-01,6.5,0.0
2025-02-01,6.25,-0.25
2025-03-01,6.25,0.0
2025-04-01,6.0,-0.25
2025-05-01,6.0,0.0
2025-06-01,5.5,-0.5
2025-07-01,5.5,0.0
2025-08-01,5.5,0.0
2025-09-01,5.5,0.0
2025-10-01,5.5,0.0
2025-11-01,5.5,0.0
2025-12-01,5.5,0.0
2026-01-01,5.5,0.0
2026-02-01,5.5,0.0
2026-03-01,5.5,0.0
2026-04-01,5.5,0.0
2026-05-01,5.5,0.0
2026-06-01,5.5,0.0
2026-07-01,5.5,0.0
2026-08-01,5.5,0.0
2026-09-01,5.5,0.0
2026-10-01,5.5,0.0
2026-11-01,5.5,0.0
2026-12-01,5.5,0.0
2027-01-01,5.5,0.0
2027-02-01,5.5,0.0
2027-03-01,5.5,0.0
2027-04-01,5.5,0.0
2027-05-01,5.5,0.0
2027-06-01,5.5,0.0
2027-07-01,5.5,0.0
2027-08-01,5.5,0.0
2027-09-01,5.5,0.0
2027-10-01,5.5,0.0
2027-11-01,5.5,0.0
2027-12-01,5.5,0.0
