category,month,actual_revenue,target,attainment_pct
Clothing,2018-04-01,13478.0,12000.0,1.1232
Clothing,2018-05-01,9518.0,12000.0,0.7932
Clothing,2018-06-01,8782.0,12000.0,0.7318
Clothing,2018-07-01,2981.0,14000.0,0.2129
Clothing,2018-08-01,11822.0,14000.0,0.8444
Clothing,2018-09-01,10717.0,14000.0,0.7655
Clothing,2018-10-01,11488.0,16000.0,0.718
Clothing,2018-11-01,16270.0,16000.0,1.0169
Clothing,2018-12-01,9545.0,16000.0,0.5966
Clothing,2019-01-01,13466.0,16000.0,0.8416
Clothing,2019-02-01,9569.0,16000.0,0.5981
Clothing,2019-03-01,21418.0,16000.0,1.3386
Electronics,2018-04-01,11127.0,9000.0,1.2363
Electronics,2018-05-01,12807.0,9000.0,1.423
Electronics,2018-06-01,9344.0,9000.0,1.0382
Electronics,2018-07-01,6502.0,9000.0,0.7224
Electronics,2018-08-01,9539.0,9000.0,1.0599
Electronics,2018-09-01,7207.0,9000.0,0.8008
Electronics,2018-10-01,13361.0,9000.0,1.4846
Electronics,2018-11-01,16651.0,9000.0,1.8501
Electronics,2018-12-01,18560.0,9000.0,2.0622
Electronics,2019-01-01,26716.0,16000.0,1.6698
Electronics,2019-02-01,12593.0,16000.0,0.7871
Electronics,2019-03-01,20860.0,16000.0,1.3038
Furniture,2018-04-01,8121.0,10400.0,0.7809
Furniture,2018-05-01,6220.0,10500.0,0.5924
Furniture,2018-06-01,5532.0,10600.0,0.5219
Furniture,2018-07-01,3483.0,10800.0,0.3225
Furniture,2018-08-01,9538.0,10900.0,0.875
Furniture,2018-09-01,8704.0,11000.0,0.7913
Furniture,2018-10-01,6766.0,11100.0,0.6095
Furniture,2018-11-01,15165.0,11300.0,1.342
Furniture,2018-12-01,9474.0,11400.0,0.8311
Furniture,2019-01-01,21257.0,11500.0,1.8484
Furniture,2019-02-01,16262.0,11600.0,1.4019
Furniture,2019-03-01,16659.0,11800.0,1.4118
