series_id,date,units_sold,price,revenue,cogs,gross_income,margin_pct
SS_A|Electronic accessories,2019-01-01,10,74.22,779.31,742.2,37.11,0.0476
SS_A|Electronic accessories,2019-01-05,7,93.88,690.018,657.16,32.858,0.0476
SS_A|Electronic accessories,2019-01-07,4,77.72,326.424,310.88,15.544,0.0476
SS_A|Electronic accessories,2019-01-08,7,62.81,461.67449999999997,439.69,21.984499999999997,0.0476
SS_A|Electronic accessories,2019-01-12,10,88.67,931.035,886.7,44.335,0.0476
SS_A|Electronic accessories,2019-01-13,6,23.46,147.798,140.76,7.038,0.0476
SS_A|Electronic accessories,2019-01-15,9,60.88,575.316,547.92,27.396,0.0476
SS_A|Electronic accessories,2019-01-18,5,26.31,138.1275,131.55,6.5775,0.0476
SS_A|Electronic accessories,2019-01-19,3,11.94,37.611,35.82,1.791,0.0476
SS_A|Electronic accessories,2019-01-23,6,66.06,416.178,396.36,19.818,0.0476
SS_A|Electronic accessories,2019-01-24,16,29.59,497.112,473.44,23.672,0.0476
SS_A|Electronic accessories,2019-01-25,9,26.23,247.8735,236.07,11.8035,0.0476
SS_A|Electronic accessories,2019-01-26,7,51.69,379.9215,361.83,18.0915,0.0476
SS_A|Electronic accessories,2019-01-27,1,73.26,76.923,73.26,3.663,0.0476
SS_A|Electronic accessories,2019-01-28,8,24.18,203.112,193.44,9.672,0.0476
SS_A|Electronic accessories,2019-01-29,1,38.6,40.53,38.6,1.93,0.0476
SS_A|Electronic accessories,2019-01-30,3,93.78,295.407,281.34,14.067,0.0476
SS_A|Electronic accessories,2019-01-31,5,29.89,156.9015,149.43,7.4715,0.0476
SS_A|Electronic accessories,2019-02-04,15,51.37,809.0775,770.55,38.5275,0.0476
SS_A|Electronic accessories,2019-02-05,2,20.89,43.869,41.78,2.089,0.0476
SS_A|Electronic accessories,2019-02-07,1,28.96,30.408,28.96,1.448,0.0476
SS_A|Electronic accessories,2019-02-12,5,46.95,246.4875,234.75,11.7375,0.0476
SS_A|Electronic accessories,2019-02-13,5,41.16,216.111,205.82,10.291,0.0476
SS_A|Electronic accessories,2019-02-14,8,99.56,836.304,796.48,39.824,0.0476
SS_A|Electronic accessories,2019-02-17,5,34.56,181.44,172.8,8.64,0.0476
SS_A|Electronic accessories,2019-02-18,1,62.48,65.604,62.48,3.124,0.0476
SS_A|Electronic accessories,2019-02-19,9,69.58,657.531,626.22,31.311,0.0476
SS_A|Electronic accessories,2019-02-21,3,94.64,298.116,283.92,14.196,0.0476
SS_A|Electronic accessories,2019-02-22,10,17.42,182.91,174.2,8.71,0.0476
SS_A|Electronic accessories,2019-02-24,10,40.26,422.73,402.6,20.13,0.0476
SS_A|Electronic accessories,2019-02-25,6,68.84,433.692,413.04,20.652,0.0476
SS_A|Electronic accessories,2019-02-26,2,46.61,97.881,93.22,4.661,0.0476
SS_A|Electronic accessories,2019-02-27,7,92.6,680.61,648.2,32.41,0.0476
SS_A|Electronic accessories,2019-03-01,10,45.48,477.54,454.8,22.74,0.0476
SS_A|Electronic accessories,2019-03-05,3,78.31,246.6765,234.93,11.7465,0.0476
SS_A|Electronic accessories,2019-03-06,9,21.5,203.175,193.5,9.675,0.0476
SS_A|Electronic accessories,2019-03-08,1,97.16,102.018,97.16,4.858,0.0476
SS_A|Electronic accessories,2019-03-10,2,58.03,121.863,116.06,5.803,0.0476
SS_A|Electronic accessories,2019-03-14,10,74.39,781.116,743.9200000000001,37.196,0.0476
SS_A|Electronic accessories,2019-03-18,4,51.19,214.998,204.76,10.238,0.0476
SS_A|Electronic accessories,2019-03-19,14,59.93,881.0445,839.0899999999999,41.9545,0.0476
SS_A|Electronic accessories,2019-03-20,6,74.51,469.413,447.06,22.353,0.0476
SS_A|Electronic accessories,2019-03-21,16,58.87,988.9425,941.8499999999999,47.0925,0.0476
SS_A|Electronic accessories,2019-03-22,1,95.15,99.9075,95.15,4.7575,0.0476
SS_A|Electronic accessories,2019-03-23,10,73.47,771.435,734.7,36.735,0.0476
SS_A|Electronic accessories,2019-03-25,11,25.52,294.714,280.68,14.033999999999999,0.0476
SS_A|Electronic accessories,2019-03-26,7,72.2,530.67,505.4,25.27,0.0476
SS_A|Electronic accessories,2019-03-28,7,26.02,191.247,182.14,9.107,0.0476
SS_A|Electronic accessories,2019-03-30,5,64.44,338.31,322.2,16.11,0.0476
SS_A|Fashion accessories,2019-01-01,9,65.74,621.243,591.66,29.583,0.0476
SS_A|Fashion accessories,2019-01-06,7,42.57,312.8895,297.99,14.8995,0.0476
SS_A|Fashion accessories,2019-01-09,5,38.54,202.335,192.7,9.635,0.0476
SS_A|Fashion accessories,2019-01-11,1,89.69,94.1745,89.69,4.4845,0.0476
SS_A|Fashion accessories,2019-01-12,19,24.96,498.0045,474.28999999999996,23.7145,0.0476
SS_A|Fashion accessories,2019-01-14,15,69.59,1096.095,1043.9,52.195,0.0476
SS_A|Fashion accessories,2019-01-18,3,88.15,277.6725,264.45,13.2225,0.0476
SS_A|Fashion accessories,2019-01-19,6,99.1,624.33,594.6,29.73,0.0476
SS_A|Fashion accessories,2019-01-20,8,63.88,536.592,511.04,25.552,0.0476
SS_A|Fashion accessories,2019-01-23,6,20.05,126.3255,120.31,6.0155,0.0476
SS_A|Fashion accessories,2019-01-24,8,86.68,728.112,693.44,34.672,0.0476
SS_A|Fashion accessories,2019-01-25,1,74.1,77.805,74.1,3.705,0.0476
SS_A|Fashion accessories,2019-01-26,2,16.7,35.0805,33.41,1.6705,0.0476
SS_A|Fashion accessories,2019-01-27,7,54.28,398.958,379.96,18.998,0.0476
SS_A|Fashion accessories,2019-01-29,9,83.24,786.618,749.16,37.458,0.0476
SS_A|Fashion accessories,2019-01-31,8,51.34,431.256,410.72,20.536,0.0476
SS_A|Fashion accessories,2019-02-02,10,43.13,452.865,431.3,21.565,0.0476
SS_A|Fashion accessories,2019-02-03,5,77.02,404.355,385.1,19.255,0.0476
SS_A|Fashion accessories,2019-02-04,4,48.63,204.246,194.52,9.726,0.0476
SS_A|Fashion accessories,2019-02-05,1,30.62,32.151,30.62,1.531,0.0476
SS_A|Fashion accessories,2019-02-08,11,91.77,1059.975,1009.5,50.475,0.0476
SS_A|Fashion accessories,2019-02-10,17,39.82,710.7975,676.95,33.8475,0.0476
SS_A|Fashion accessories,2019-02-15,3,51.94,163.611,155.82,7.791,0.0476
SS_A|Fashion accessories,2019-02-17,3,45.38,142.947,136.14,6.807,0.0476
SS_A|Fashion accessories,2019-02-18,7,88.34,649.299,618.38,30.919,0.0476
SS_A|Fashion accessories,2019-02-19,2,98.48,206.808,196.96,9.848,0.0476
SS_A|Fashion accessories,2019-02-25,4,73.05,306.81,292.2,14.61,0.0476
SS_A|Fashion accessories,2019-02-26,1,55.45,58.2225,55.45,2.7725,0.0476
SS_A|Fashion accessories,2019-02-27,11,67.67,781.5464999999999,744.33,37.2165,0.0476
SS_A|Fashion accessories,2019-03-01,4,22.32,93.744,89.28,4.464,0.0476
SS_A|Fashion accessories,2019-03-03,1,46.41,48.7305,46.41,2.3205,0.0476
SS_A|Fashion accessories,2019-03-04,9,48.96,462.672,440.64,22.032,0.0476
SS_A|Fashion accessories,2019-03-05,2,81.91,172.011,163.82,8.191,0.0476
SS_A|Fashion accessories,2019-03-08,5,61.77,324.2925,308.85,15.4425,0.0476
SS_A|Fashion accessories,2019-03-09,8,97.29,817.236,778.32,38.916,0.0476
SS_A|Fashion accessories,2019-03-10,2,87.67,184.107,175.34,8.767,0.0476
SS_A|Fashion accessories,2019-03-11,4,94.67,397.614,378.68,18.934,0.0476
SS_A|Fashion accessories,2019-03-15,10,19.66,206.43,196.6,9.83,0.0476
SS_A|Fashion accessories,2019-03-19,10,70.31,738.255,703.1,35.155,0.0476
SS_A|Fashion accessories,2019-03-23,4,37.15,156.03,148.6,7.43,0.0476
SS_A|Fashion accessories,2019-03-26,4,44.06,185.031,176.22,8.811,0.0476
SS_A|Fashion accessories,2019-03-28,7,71.46,525.231,500.22,25.011,0.0476
SS_A|Food and beverages,2019-01-02,6,41.66,262.458,249.96,12.498,0.0476
SS_A|Food and beverages,2019-01-06,5,40.94,214.935,204.7,10.235,0.0476
SS_A|Food and beverages,2019-01-11,20,29.22,613.6305,584.4100000000001,29.2205,0.0476
SS_A|Food and beverages,2019-01-15,2,83.77,175.917,167.54,8.377,0.0476
SS_A|Food and beverages,2019-01-17,10,81.21,852.705,812.1,40.605,0.0476
SS_A|Food and beverages,2019-01-19,14,41.34,607.656,578.72,28.936,0.0476
SS_A|Food and beverages,2019-01-21,5,47.35,248.5665,236.73,11.836500000000001,0.0476
SS_A|Food and beverages,2019-01-23,15,67.99,1070.8425,1019.8499999999999,50.9925,0.0476
SS_A|Food and beverages,2019-01-27,6,81.71,514.773,490.26,24.513,0.0476
SS_A|Food and beverages,2019-01-28,7,11.53,84.7455,80.71,4.0355,0.0476
SS_A|Food and beverages,2019-02-01,5,14.23,74.7075,71.15,3.5575,0.0476
SS_A|Food and beverages,2019-02-02,10,10.96,115.08,109.6,5.48,0.0476
SS_A|Food and beverages,2019-02-03,15,54.06,851.445,810.9,40.545,0.0476
SS_A|Food and beverages,2019-02-05,1,87.9,92.295,87.9,4.395,0.0476
SS_A|Food and beverages,2019-02-07,10,43.19,453.495,431.9,21.595,0.0476
SS_A|Food and beverages,2019-02-09,10,34.72,364.56,347.2,17.36,0.0476
SS_A|Food and beverages,2019-02-10,5,44.59,234.0975,222.95,11.1475,0.0476
SS_A|Food and beverages,2019-02-15,6,59.65,375.795,357.9,17.895,0.0476
SS_A|Food and beverages,2019-02-16,7,24.82,182.427,173.74,8.687,0.0476
SS_A|Food and beverages,2019-02-17,11,67.85,783.699,746.38,37.319,0.0476
SS_A|Food and beverages,2019-02-19,9,98.66,932.337,887.94,44.397,0.0476
SS_A|Food and beverages,2019-02-20,5,92.29,484.5225,461.45,23.0725,0.0476
SS_A|Food and beverages,2019-02-23,4,73.47,308.574,293.88,14.694,0.0476
SS_A|Food and beverages,2019-02-25,3,99.6,313.74,298.8,14.94,0.0476
SS_A|Food and beverages,2019-02-27,20,46.64,979.5450000000001,932.9,46.644999999999996,0.0476
SS_A|Food and beverages,2019-02-28,6,80.62,507.906,483.72,24.186,0.0476
SS_A|Food and beverages,2019-03-02,4,66.52,279.384,266.08,13.304,0.0476
SS_A|Food and beverages,2019-03-03,8,22.17,186.228,177.36,8.868,0.0476
SS_A|Food and beverages,2019-03-04,4,74.66,313.572,298.64,14.932,0.0476
SS_A|Food and beverages,2019-03-09,5,99.78,523.845,498.9,24.945,0.0476
SS_A|Food and beverages,2019-03-10,7,10.13,74.4555,70.91,3.5455,0.0476
SS_A|Food and beverages,2019-03-13,12,49.32,621.474,591.88,29.594,0.0476
SS_A|Food and beverages,2019-03-14,2,23.48,49.308,46.96,2.348,0.0476
SS_A|Food and beverages,2019-03-16,5,63.61,333.9525,318.05,15.9025,0.0476
SS_A|Food and beverages,2019-03-19,2,83.34,175.014,166.68,8.334,0.0476
SS_A|Food and beverages,2019-03-20,3,59.37,187.0155,178.11,8.9055,0.0476
SS_A|Food and beverages,2019-03-22,5,56.56,296.94,282.8,14.14,0.0476
SS_A|Food and beverages,2019-03-23,9,66.84,631.6065,601.53,30.076500000000003,0.0476
SS_A|Food and beverages,2019-03-25,4,55.39,232.638,221.56,11.078,0.0476
SS_A|Food and beverages,2019-03-27,12,55.15,694.848,661.76,33.088,0.0476
SS_A|Food and beverages,2019-03-28,14,58.66,862.365,821.3,41.065000000000005,0.0476
SS_A|Health and beauty,2019-01-03,14,39.81,585.186,557.32,27.866,0.0476
SS_A|Health and beauty,2019-01-04,5,20.97,110.0925,104.85,5.2425,0.0476
SS_A|Health and beauty,2019-01-05,7,74.69,548.9715,522.83,26.1415,0.0476
SS_A|Health and beauty,2019-01-10,2,36.26,76.146,72.52,3.626,0.0476
SS_A|Health and beauty,2019-01-13,9,39.62,374.409,356.58,17.829,0.0476
SS_A|Health and beauty,2019-01-20,4,55.5,233.1,222.0,11.1,0.0476
SS_A|Health and beauty,2019-01-21,7,53.17,390.7995,372.19,18.6095,0.0476
SS_A|Health and beauty,2019-01-23,9,79.15,747.9675,712.35,35.6175,0.0476
SS_A|Health and beauty,2019-01-24,5,77.5,406.875,387.5,19.375,0.0476
SS_A|Health and beauty,2019-01-27,8,58.22,489.048,465.76,23.288,0.0476
SS_A|Health and beauty,2019-02-01,4,77.68,326.256,310.72,15.536,0.0476
SS_A|Health and beauty,2019-02-02,1,18.33,19.2465,18.33,0.9165,0.0476
SS_A|Health and beauty,2019-02-06,5,35.68,187.32,178.4,8.92,0.0476
SS_A|Health and beauty,2019-02-07,8,89.6,752.64,716.8,35.84,0.0476
SS_A|Health and beauty,2019-02-12,6,25.43,160.209,152.58,7.629,0.0476
