tenure_days,recency_days,frequency,avg_order_value,monetary_value,churned
233,233,1,77183.6,77183.6,1
275,37,5,558.17,2790.86,0
266,156,3,389.08,1167.24,0
218,218,1,294.4,294.4,1
204,170,4,160.38,641.51,0
112,112,1,89.0,89.0,1
140,140,1,1079.4,1079.4,1
122,122,1,459.4,459.4,1
233,153,2,1214.54,2429.08,0
58,58,1,404.86,404.86,0
239,97,3,1165.24,3495.73,0
108,20,2,689.14,1378.28,0
195,195,1,174.9,174.9,1
203,28,4,395.59,1582.35,0
150,17,2,276.0,552.0,1
20,20,1,578.92,578.92,0
199,199,1,320.69,320.69,1
268,182,3,894.22,2682.66,0
204,120,2,421.46,842.92,0
219,219,1,324.6,324.6,1
6,6,1,190.3,190.3,0
262,223,2,774.06,1548.12,1
37,37,1,4008.62,4008.62,1
78,78,1,414.84,414.84,0
93,93,1,562.55,562.55,0
27,27,1,1028.74,1028.74,0
260,92,5,325.71,1628.56,1
29,29,1,212.69,212.69,0
274,245,2,200.95,401.9,1
234,56,4,417.08,1668.34,0
240,153,3,353.7,1061.1,0
125,125,1,351.08,351.08,0
279,20,8,209.32,1674.57,0
43,43,1,1109.81,1109.81,0
169,27,4,258.41,1033.65,1
211,211,1,69.3,69.3,1
231,231,1,195.6,195.6,1
56,56,1,1390.39,1390.39,1
91,91,1,1621.25,1621.25,0
172,42,4,310.59,1242.36,0
168,6,4,484.76,1939.05,0
90,90,1,6207.08,6207.08,0
216,216,2,266.67,533.33,1
77,45,2,418.37,836.74,0
245,144,2,254.95,509.9,0
218,125,3,147.47,442.41,1
245,7,14,7266.99,101737.88,0
265,14,7,354.79,2483.52,0
20,20,1,668.58,668.58,1
227,22,3,162.85,488.56,0
232,3,3,227.85,683.56,1
261,8,7,205.81,1440.67,1
70,70,2,880.48,1760.96,1
102,102,1,510.73,510.73,1
279,279,1,249.5,249.5,0
191,28,7,868.13,6076.92,0
273,80,3,827.63,2482.88,0
281,27,11,430.19,4732.07,0
80,80,2,1658.33,3316.66,0
281,274,2,1893.56,3787.12,0
168,168,1,286.25,286.25,0
175,175,1,3978.99,3978.99,0
7,7,1,429.01,429.01,1
239,6,11,227.76,2505.41,0
48,48,1,770.07,770.07,0
274,274,1,155.55,155.55,1
79,29,2,1173.64,2347.27,0
151,151,1,431.49,431.49,1
95,37,2,728.44,1456.88,0
