customer_id,tenure_days,recency_days,frequency,avg_order_value,monetary_value,support_tickets,discount_usage_rate,churned
C00000,1249,46,4,1591.02,6364.06,1,0.3996,0
C00001,194,370,6,518.6,3111.6,0,0.0845,1
C00002,647,130,10,1577.15,15771.47,0,0.219,0
C00003,695,321,8,1600.28,12802.28,0,0.2803,0
C00004,1001,140,4,831.98,3327.91,3,0.431,1
C00005,771,200,6,869.75,5218.48,0,0.1322,1
C00006,1036,334,4,788.77,3155.07,1,0.0068,1
C00007,629,284,9,298.72,2688.48,0,0.2339,1
C00008,189,260,7,1639.61,11477.28,1,0.1853,1
C00009,104,124,2,662.7,1325.41,2,0.3087,1
C00010,109,44,3,883.28,2649.84,0,0.3157,1
C00011,850,197,9,731.61,6584.49,0,0.3521,0
C00012,664,157,6,428.09,2568.53,1,0.2104,0
C00013,398,228,6,560.86,3365.18,1,0.1983,1
C00014,927,197,6,1016.91,6101.46,2,0.1921,1
C00015,678,113,12,555.98,6671.76,1,0.3414,0
C00016,484,25,1,860.07,860.07,0,0.5966,0
C00017,163,338,3,292.53,877.59,0,0.1564,1
C00018,208,32,4,1619.33,6477.31,0,0.0426,0
C00019,269,220,5,1210.2,6051.0,1,0.2571,1
C00020,279,223,3,341.43,1024.29,0,0.4708,1
C00021,935,184,6,719.93,4319.57,2,0.1039,0
C00022,935,37,9,548.89,4939.98,0,0.331,0
C00023,1490,126,5,824.74,4123.68,0,0.3835,1
C00024,149,186,3,1091.76,3275.27,1,0.2615,1
C00025,1472,355,5,1451.8,7259.01,0,0.3661,1
C00026,1102,386,6,674.18,4045.08,1,0.2161,1
C00027,198,123,9,838.95,7550.52,0,0.158,0
C00028,866,269,4,868.77,3475.07,1,0.2049,1
C00029,882,49,3,1683.37,5050.12,2,0.2143,0
C00030,180,188,5,1280.64,6403.22,2,0.301,0
C00031,1358,34,4,1814.93,7259.74,3,0.1758,1
C00032,1069,168,10,600.12,6001.23,1,0.2001,0
C00033,616,344,5,2797.14,13985.69,0,0.7608,1
C00034,644,39,4,1725.94,6903.78,0,0.6235,0
C00035,1212,127,3,1091.95,3275.85,1,0.1954,0
C00036,928,179,5,1501.32,7506.62,2,0.0705,0
C00037,239,258,10,627.26,6272.58,0,0.1752,0
C00038,915,271,7,849.33,5945.29,1,0.3021,1
C00039,1479,397,5,779.54,3897.72,0,0.4062,1
C00040,1314,246,3,951.64,2854.92,2,0.1936,1
C00041,975,105,8,2835.55,22684.38,1,0.2643,0
C00042,823,309,7,2504.62,17532.35,1,0.0512,0
C00043,937,253,7,835.17,5846.19,0,0.3464,0
C00044,435,199,8,314.77,2518.13,3,0.1593,1
C00045,884,218,5,456.99,2284.95,0,0.2246,1
C00046,1261,194,6,1248.93,7493.56,2,0.3505,0
C00047,1356,26,5,654.3,3271.48,2,0.522,0
C00048,903,13,4,1422.23,5688.92,1,0.3364,0
C00049,484,138,10,190.62,1906.23,0,0.0644,0
C00050,347,275,8,1147.34,9178.72,0,0.2789,0
C00051,344,50,8,910.06,7280.5,0,0.2521,0
C00052,371,180,6,2257.36,13544.18,0,0.4028,1
C00053,815,96,7,1430.71,10015.0,3,0.586,1
C00054,680,301,5,897.04,4485.18,0,0.164,1
C00055,1477,343,8,961.74,7693.92,0,0.3785,0
C00056,937,338,7,1561.99,10933.91,0,0.0972,0
C00057,1474,132,10,769.99,7699.88,0,0.6039,0
C00058,1380,311,4,1496.88,5987.52,1,0.139,1
C00059,164,11,6,1044.91,6269.46,0,0.4642,0
C00060,421,117,4,710.67,2842.69,0,0.06,0
C00061,100,354,7,490.83,3435.8,1,0.2836,1
C00062,971,204,8,733.26,5866.07,0,0.3692,1
C00063,1218,369,9,858.91,7730.2,1,0.1873,0
C00064,1374,267,5,502.87,2514.36,0,0.6237,1
C00065,975,217,3,892.65,2677.95,0,0.3773,0
C00066,379,129,2,1077.62,2155.23,1,0.2499,0
C00067,948,141,6,303.17,1819.0,0,0.236,0
C00068,411,26,4,984.38,3937.52,0,0.206,0
C00069,1057,325,6,3410.64,20463.85,0,0.2609,0
C00070,85,124,6,1115.07,6690.44,0,0.1991,1
C00071,76,39,5,834.95,4174.75,0,0.2785,0
C00072,930,269,5,260.14,1300.7,0,0.071,1
C00073,633,245,5,1211.97,6059.86,2,0.0757,1
C00074,232,378,10,2256.37,22563.67,0,0.2005,1
C00075,734,59,5,378.23,1891.13,2,0.3728,0
C00076,945,313,3,478.08,1434.23,0,0.5035,1
C00077,998,343,4,1113.29,4453.18,1,0.1173,1
C00078,77,72,2,2083.68,4167.35,0,0.482,1
C00079,883,306,3,267.7,803.09,0,0.491,1
C00080,143,209,2,1679.54,3359.09,1,0.2679,1
C00081,1140,359,5,628.54,3142.69,2,0.3731,1
C00082,1092,53,7,1527.7,10693.91,3,0.0352,0
C00083,827,386,5,2364.26,11821.3,0,0.2384,1
C00084,1219,234,7,597.84,4184.86,0,0.0909,0
C00085,959,318,5,949.12,4745.58,0,0.5236,0
C00086,907,160,7,1902.37,13316.57,0,0.186,0
C00087,37,106,10,1125.67,11256.7,0,0.2631,1
C00088,309,263,5,766.96,3834.81,0,0.0366,0
C00089,966,247,5,367.68,1838.38,0,0.3165,0
C00090,1421,331,7,433.25,3032.76,1,0.3299,0
C00091,781,374,9,1019.48,9175.34,0,0.2899,1
C00092,1487,164,9,955.64,8600.75,0,0.3646,0
C00093,637,76,8,712.25,5698.01,0,0.3338,0
C00094,226,329,6,1173.65,7041.92,1,0.3119,1
C00095,1054,76,6,1245.12,7470.69,2,0.1352,0
C00096,1086,358,9,1055.81,9502.3,2,0.2747,1
C00097,33,298,4,876.4,3505.61,2,0.3012,1
C00098,1323,346,10,546.2,5462.04,1,0.1568,1
C00099,1160,251,6,1301.74,7810.46,2,0.0476,1
C00100,896,130,9,1264.96,11384.67,0,0.3381,0
C00101,1333,180,3,1440.99,4322.96,0,0.5449,0
C00102,1099,305,3,1005.42,3016.26,0,0.0916,0
C00103,196,36,4,801.15,3204.6,1,0.4038,0
C00104,1000,16,4,1079.99,4319.97,0,0.5501,0
C00105,551,304,6,350.91,2105.47,2,0.2908,1
C00106,1478,287,3,168.29,504.88,0,0.7167,1
C00107,1306,135,6,1875.89,11255.33,0,0.134,0
C00108,1074,258,7,1638.88,11472.17,1,0.2551,0
C00109,121,363,10,1279.9,12798.96,0,0.1729,0
C00110,1365,213,5,793.82,3969.11,1,0.6349,0
C00111,364,238,7,982.19,6875.32,0,0.4484,0
C00112,1190,346,8,920.85,7366.78,0,0.1862,0
C00113,1214,301,7,382.14,2675.0,0,0.3692,1
C00114,760,115,4,1396.39,5585.55,0,0.0992,0
C00115,554,72,9,858.98,7730.79,1,0.1632,1
C00116,332,12,4,464.67,1858.66,0,0.5055,0
C00117,528,270,4,1590.41,6361.65,0,0.2262,0
C00118,140,365,8,193.67,1549.33,0,0.1973,1
C00119,615,387,2,929.15,1858.3,1,0.1203,1
C00120,643,118,10,517.6,5175.97,0,0.07,0
C00121,1451,89,7,559.81,3918.7,0,0.1042,0
C00122,702,352,4,347.88,1391.5,1,0.4254,1
C00123,115,296,3,2184.56,6553.69,0,0.491,1
C00124,243,111,9,1407.4,12666.62,0,0.1322,0
C00125,569,162,11,2133.23,23465.56,0,0.1885,0
C00126,473,68,6,288.04,1728.24,0,0.1841,0
C00127,561,40,9,512.87,4615.79,0,0.1597,0
C00128,684,115,7,768.89,5382.25,0,0.3912,0
C00129,1469,357,5,1083.64,5418.18,0,0.3806,1
C00130,99,229,3,1015.2,3045.6,0,0.2209,1
C00131,453,173,4,262.52,1050.08,1,0.2952,1
C00132,512,298,11,496.71,5463.79,0,0.0502,0
C00133,1417,138,2,752.96,1505.91,0,0.4447,0
C00134,974,83,4,1248.34,4993.37,0,0.3708,0
C00135,622,316,7,1248.01,8736.06,0,0.1112,0
C00136,80,137,7,1245.67,8719.71,2,0.2682,1
C00137,701,5,10,1288.51,12885.14,0,0.374,0
C00138,1297,20,6,2402.86,14417.17,1,0.113,0
C00139,1024,235,1,2027.25,2027.25,1,0.2124,1
C00140,1392,5,6,1572.57,9435.42,1,0.4862,0
C00141,735,21,3,541.65,1624.96,0,0.2186,0
C00142,444,99,2,1714.58,3429.16,1,0.0868,0
C00143,348,376,10,431.41,4314.07,1,0.1074,0
C00144,925,110,9,370.49,3334.4,0,0.4374,0
C00145,1264,359,4,594.06,2376.22,0,0.2688,1
C00146,880,193,8,1456.52,11652.18,2,0.2952,0
C00147,444,259,3,466.62,1399.86,1,0.0951,1
C00148,937,121,5,928.66,4643.28,1,0.1365,1
C00149,1290,210,5,1285.49,6427.44,1,0.3834,1
C00150,905,112,4,1948.35,7793.4,0,0.2986,0
C00151,1453,311,6,1847.04,11082.27,1,0.0921,1
C00152,416,359,2,2116.41,4232.81,0,0.3143,1
C00153,814,282,4,1583.73,6334.9,1,0.238,1
C00154,381,44,3,1469.89,4409.66,0,0.4598,0
C00155,286,171,6,766.09,4596.55,2,0.3729,1
C00156,201,71,11,560.95,6170.47,1,0.3505,0
C00157,268,64,7,551.58,3861.08,0,0.2772,1
C00158,499,10,4,1759.09,7036.36,2,0.5439,1
C00159,1282,336,7,841.07,5887.51,0,0.4059,1
C00160,319,252,5,797.66,3988.31,0,0.2936,1
C00161,446,276,14,931.42,13039.84,1,0.4859,0
C00162,1105,110,4,2647.35,10589.39,1,0.0913,0
C00163,756,125,3,368.42,1105.25,0,0.2089,0
C00164,991,252,2,1097.64,2195.28,1,0.5292,1
C00165,1182,173,5,264.67,1323.34,0,0.3982,0
C00166,708,88,8,2174.31,17394.5,0,0.3095,0
C00167,111,291,6,1480.73,8884.38,0,0.0245,1
C00168,714,284,10,216.96,2169.6,2,0.0959,1
C00169,666,253,9,518.68,4668.12,0,0.0865,0
C00170,1413,87,7,643.25,4502.72,0,0.1326,1
C00171,1015,367,4,685.08,2740.33,0,0.2406,1
C00172,938,346,2,115.39,230.78,0,0.3713,1
C00173,874,11,5,812.19,4060.97,0,0.0701,0
C00174,591,252,7,1166.94,8168.57,2,0.2264,1
C00175,627,251,5,866.02,4330.12,0,0.1118,1
C00176,370,288,4,608.66,2434.63,1,0.0326,1
C00177,548,153,9,1574.19,14167.68,1,0.361,0
C00178,1098,132,3,492.51,1477.53,0,0.1883,0
C00179,146,115,7,1908.57,13359.99,0,0.3749,0
C00180,828,352,5,2458.55,12292.75,0,0.1575,1
C00181,919,359,6,2664.24,15985.42,3,0.7463,1
C00182,242,139,7,397.78,2784.45,0,0.3619,0
C00183,115,171,6,682.15,4092.89,1,0.198,0
C00184,663,286,11,1675.55,18431.0,0,0.1759,0
C00185,796,169,4,1089.83,4359.32,0,0.1259,1
C00186,306,238,6,756.69,4540.12,0,0.4591,0
C00187,226,111,3,2304.15,6912.45,0,0.2986,1
C00188,467,251,2,338.99,677.97,3,0.1374,1
C00189,88,297,10,669.01,6690.13,1,0.1058,0
C00190,941,153,8,1610.94,12887.5,1,0.1105,1
C00191,746,176,5,1554.8,7774.01,1,0.7173,0
C00192,892,355,5,271.97,1359.83,2,0.464,0
C00193,479,157,7,236.55,1655.86,0,0.4036,0
C00194,911,90,4,701.48,2805.92,0,0.2609,0
C00195,747,276,1,784.68,784.68,1,0.2711,1
C00196,1439,210,4,1230.19,4920.75,0,0.3503,0
C00197,270,247,4,130.64,522.54,0,0.3484,1
C00198,687,324,9,1100.66,9905.94,0,0.122,0
C00199,1450,397,6,950.97,5705.83,1,0.1174,1
C00200,1418,149,4,956.81,3827.22,0,0.0441,1
C00201,50,124,6,445.1,2670.62,1,0.0741,0
C00202,531,62,6,892.37,5354.24,1,0.336,0
C00203,229,373,5,828.69,4143.45,0,0.2169,1
C00204,1042,269,7,1259.21,8814.49,3,0.1882,1
C00205,1075,201,5,1073.86,5369.28,0,0.4644,0
C00206,858,345,5,700.9,3504.52,2,0.3104,1
C00207,1397,11,8,1315.02,10520.19,1,0.5089,0
C00208,77,393,2,1630.25,3260.5,4,0.6467,1
C00209,97,286,5,1218.63,6093.13,0,0.3157,1
C00210,1400,124,7,488.64,3420.47,0,0.1508,0
C00211,62,154,6,678.11,4068.64,1,0.3272,1
C00212,1444,323,5,466.03,2330.13,1,0.1842,0
C00213,850,351,4,827.79,3311.15,1,0.3673,1
C00214,956,51,1,327.61,327.61,2,0.2261,0
C00215,677,164,5,860.45,4302.27,0,0.3008,0
C00216,959,206,7,790.36,5532.5,2,0.0722,1
C00217,330,47,8,785.51,6284.1,0,0.0733,0
C00218,183,129,4,758.97,3035.9,0,0.2712,0
C00219,224,270,6,725.84,4355.02,0,0.0257,0
C00220,277,117,6,720.52,4323.09,1,0.6644,1
C00221,1284,137,5,2386.33,11931.63,1,0.0349,0
C00222,680,56,6,2365.58,14193.47,1,0.3784,0
C00223,212,247,7,240.57,1683.97,2,0.1008,1
C00224,398,13,9,919.27,8273.47,0,0.3073,0
C00225,1052,116,8,761.06,6088.47,1,0.234,0
C00226,566,384,11,427.82,4705.99,1,0.2603,1
C00227,1245,134,3,1231.1,3693.31,1,0.592,0
C00228,60,303,7,1042.66,7298.65,0,0.1353,0
C00229,62,209,8,1328.88,10631.02,0,0.2422,1
C00230,1169,76,6,559.46,3356.75,0,0.2316,0
C00231,1124,205,5,1347.46,6737.28,0,0.4457,0
C00232,161,191,3,956.32,2868.96,0,0.2871,1
C00233,1034,397,5,851.47,4257.36,0,0.0863,1
C00234,334,382,9,2988.83,26899.51,1,0.4728,0
C00235,828,215,6,466.83,2801.0,0,0.6014,0
C00236,1116,373,7,2108.3,14758.1,1,0.3439,1
C00237,146,241,10,267.26,2672.58,0,0.2268,0
C00238,1492,39,4,364.75,1458.99,0,0.1234,0
C00239,1364,342,4,863.57,3454.3,0,0.4092,1
C00240,482,293,7,1234.02,8638.11,0,0.3112,1
C00241,1365,3,6,378.56,2271.36,0,0.323,0
C00242,818,4,7,1505.38,10537.66,0,0.3157,0
C00243,531,376,10,1131.59,11315.9,1,0.4996,0
C00244,1313,126,8,1660.79,13286.33,1,0.091,0
C00245,524,134,6,1559.09,9354.52,0,0.3268,1
C00246,660,228,6,1066.89,6401.34,2,0.1928,1
C00247,834,330,12,197.49,2369.86,0,0.0737,1
C00248,345,223,4,401.74,1606.95,0,0.2628,1
C00249,1317,237,4,2583.52,10334.06,0,0.552,0
C00250,1302,24,8,2155.74,17245.91,2,0.0904,0
C00251,1400,341,7,1738.69,12170.85,0,0.0106,1
C00252,1305,68,5,2031.48,10157.38,0,0.5238,1
C00253,396,153,6,125.58,753.48,0,0.3133,1
C00254,887,232,4,304.14,1216.56,2,0.1279,1
C00255,847,341,3,1496.52,4489.57,1,0.094,0
C00256,1211,206,5,2363.78,11818.89,0,0.1926,0
C00257,565,372,2,511.65,1023.29,1,0.1846,1
C00258,812,77,10,2323.23,23232.33,1,0.5453,0
C00259,350,119,8,213.29,1706.31,0,0.1913,1
C00260,800,296,3,1232.99,3698.96,0,0.1516,1
C00261,34,248,2,98.75,197.5,0,0.7898,1
C00262,50,93,8,1259.31,10074.48,2,0.4805,1
C00263,461,83,4,906.25,3625.0,1,0.128,0
C00264,1063,140,3,543.93,1631.79,0,0.2289,1
C00265,512,263,5,1313.7,6568.52,0,0.2876,0
C00266,1038,297,8,1319.4,10555.2,0,0.368,0
C00267,992,371,6,620.01,3720.06,2,0.2259,0
C00268,468,274,6,2000.38,12002.29,0,0.028,0
C00269,976,259,7,1201.53,8410.68,1,0.1512,0
C00270,631,135,4,431.8,1727.2,1,0.044,0
C00271,1468,293,5,723.28,3616.38,1,0.227,1
C00272,56,236,10,1497.78,14977.81,1,0.1065,0
C00273,1004,350,4,647.84,2591.35,0,0.1796,1
C00274,1245,39,9,1620.43,14583.86,1,0.341,1
C00275,255,271,4,793.0,3172.0,1,0.3224,0
C00276,1467,106,16,500.01,8000.12,2,0.51,0
C00277,896,100,6,1558.87,9353.22,1,0.4398,0
C00278,860,3,4,2189.46,8757.84,1,0.2041,0
C00279,273,264,8,568.48,4547.81,1,0.4796,0
C00280,906,102,9,839.92,7559.32,1,0.5769,0
C00281,256,371,10,3347.34,33473.36,2,0.3149,0
C00282,622,198,12,1779.44,21353.31,2,0.3584,1
C00283,1393,289,6,2002.23,12013.39,0,0.2848,0
C00284,373,185,4,2026.8,8107.21,2,0.2279,1
C00285,292,107,6,589.87,3539.23,0,0.4585,0
C00286,39,269,9,291.12,2620.05,0,0.0791,0
C00287,731,359,5,1347.73,6738.66,1,0.1817,1
C00288,1108,252,6,526.7,3160.18,1,0.239,0
C00289,1363,369,7,437.58,3063.03,1,0.4461,1
C00290,185,120,6,1554.72,9328.3,0,0.1562,0
C00291,922,94,6,1563.02,9378.11,1,0.2181,1
C00292,267,61,7,236.5,1655.49,0,0.2584,0
C00293,705,146,4,605.44,2421.75,0,0.1231,1
C00294,416,379,6,523.41,3140.45,0,0.3758,1
C00295,522,44,7,2286.77,16007.41,1,0.0974,0
C00296,794,238,6,292.6,1755.6,1,0.4616,1
C00297,214,370,7,961.77,6732.42,0,0.589,0
C00298,1311,220,8,519.32,4154.53,1,0.4243,0
C00299,1292,231,5,1106.79,5533.97,0,0.1364,0
C00300,408,298,6,514.13,3084.77,0,0.2799,0
C00301,1210,129,8,1049.26,8394.1,0,0.3195,0
C00302,989,248,7,974.04,6818.28,0,0.3912,1
C00303,1379,108,5,737.09,3685.43,0,0.1404,0
C00304,1142,360,8,1222.72,9781.75,1,0.1983,1
C00305,1168,226,4,736.57,2946.28,1,0.1098,1
C00306,778,161,3,1287.0,3861.01,1,0.1868,0
C00307,750,387,7,904.12,6328.82,0,0.1372,1
C00308,364,198,6,217.86,1307.14,0,0.069,0
C00309,314,185,8,739.1,5912.8,0,0.5331,0
C00310,816,98,3,906.51,2719.53,0,0.4982,0
C00311,1325,392,6,1929.09,11574.54,0,0.3658,0
C00312,765,264,7,915.54,6408.75,1,0.1883,1
C00313,330,296,8,943.7,7549.61,0,0.403,1
C00314,891,359,5,940.48,4702.38,2,0.2302,1
C00315,718,281,6,574.11,3444.67,1,0.3336,1
C00316,394,382,8,2694.25,21554.0,1,0.2874,1
C00317,998,61,5,1075.85,5379.23,1,0.1933,1
C00318,531,187,5,2543.66,12718.32,0,0.4112,1
C00319,1277,78,9,2290.19,20611.74,1,0.2459,0
C00320,1220,125,4,614.26,2457.06,3,0.1449,1
C00321,1270,295,2,168.96,337.92,0,0.5313,0
C00322,1387,219,9,342.86,3085.73,0,0.2254,0
C00323,565,66,7,2295.05,16065.32,0,0.4716,0
C00324,1111,281,5,1030.88,5154.42,0,0.1352,0
C00325,209,220,2,1237.32,2474.64,0,0.5052,1
C00326,1097,144,11,1105.32,12158.47,2,0.1557,0
C00327,749,205,6,580.34,3482.01,1,0.3034,0
C00328,545,311,4,274.9,1099.6,1,0.1741,1
C00329,1313,289,1,2095.96,2095.96,0,0.2119,0
C00330,565,75,4,865.67,3462.68,0,0.5805,0
C00331,455,220,9,983.55,8851.96,0,0.0616,0
C00332,978,148,5,1036.02,5180.11,2,0.5917,0
C00333,821,87,6,680.57,4083.45,0,0.4139,0
C00334,1181,380,4,620.6,2482.4,0,0.5279,1
C00335,262,312,2,1245.06,2490.11,0,0.1981,1
C00336,1487,350,3,709.46,2128.37,0,0.3338,1
C00337,1122,313,9,2047.88,18430.93,0,0.2025,0
C00338,525,317,6,1437.98,8627.89,3,0.3288,1
C00339,922,15,10,2136.12,21361.17,1,0.336,0
C00340,35,397,3,662.94,1988.81,1,0.2219,1
C00341,1117,216,7,842.98,5900.85,1,0.2652,0
C00342,104,128,7,1438.71,10070.98,1,0.5478,0
C00343,456,32,4,255.82,1023.26,0,0.5016,1
C00344,1211,6,4,606.71,2426.82,1,0.2495,0
C00345,1024,46,5,2320.02,11600.09,0,0.7949,1
C00346,813,128,4,399.98,1599.91,1,0.3086,1
C00347,281,22,4,804.33,3217.33,1,0.2843,0
C00348,1140,102,3,476.81,1430.42,0,0.1988,1
C00349,646,303,7,437.77,3064.41,0,0.1527,1
C00350,991,134,3,874.68,2624.04,0,0.3645,0
C00351,1266,226,8,313.51,2508.12,0,0.4917,0
C00352,1492,291,6,1515.83,9094.97,1,0.0676,1
C00353,781,202,6,1348.2,8089.19,0,0.3018,1
C00354,923,197,9,2614.33,23528.94,0,0.1833,0
C00355,1352,85,8,1203.31,9626.5,1,0.3808,0
C00356,702,83,9,998.71,8988.43,0,0.1129,0
C00357,1231,9,11,875.83,9634.17,1,0.2726,0
C00358,1130,8,7,2324.16,16269.12,0,0.2049,0
C00359,805,89,3,1919.0,5757.0,2,0.4496,1
C00360,1459,28,6,708.23,4249.37,0,0.291,0
C00361,530,127,5,992.44,4962.21,2,0.427,1
C00362,1435,2,4,1506.44,6025.74,1,0.2191,0
C00363,1128,345,7,1295.99,9071.91,1,0.2493,1
C00364,858,272,4,913.46,3653.84,1,0.0777,1
C00365,1133,58,9,423.31,3809.82,1,0.335,0
C00366,435,70,7,403.78,2826.49,1,0.1389,0
C00367,793,83,5,1139.46,5697.3,1,0.2234,0
C00368,1085,75,4,502.81,2011.23,2,0.2248,1
C00369,231,55,8,796.33,6370.68,2,0.4428,0
C00370,1483,91,7,1935.89,13551.22,2,0.1143,0
C00371,500,313,6,353.88,2123.3,1,0.1803,1
C00372,1126,218,4,2753.84,11015.36,1,0.206,1
C00373,733,57,4,888.17,3552.68,1,0.2538,0
C00374,1304,67,9,712.6,6413.44,0,0.3828,0
C00375,1417,40,7,528.55,3699.86,2,0.4889,0
C00376,191,333,9,2134.68,19212.15,0,0.2902,0
C00377,1167,204,5,1427.46,7137.31,1,0.2413,1
C00378,869,183,5,598.44,2992.19,2,0.1452,0
C00379,1172,202,3,1032.03,3096.08,0,0.252,0
C00380,1349,189,8,329.98,2639.8,0,0.2672,0
C00381,330,177,4,997.43,3989.71,0,0.2094,0
C00382,1280,165,3,260.09,780.26,0,0.1253,0
C00383,257,342,9,579.01,5211.1,0,0.3285,1
C00384,493,328,8,1248.41,9987.27,2,0.2346,0
C00385,1458,222,6,640.2,3841.2,0,0.1521,0
C00386,317,323,9,396.95,3572.54,1,0.4058,1
C00387,452,9,10,1504.53,15045.32,0,0.1383,0
C00388,1167,287,7,514.74,3603.16,0,0.3827,0
C00389,993,126,5,2345.25,11726.27,0,0.2312,0
C00390,1240,42,7,976.21,6833.47,0,0.2448,0
C00391,1137,310,7,508.57,3560.01,0,0.3214,1
C00392,379,328,6,1258.26,7549.54,2,0.2064,1
C00393,798,56,7,2667.84,18674.88,0,0.1129,0
C00394,117,233,9,753.03,6777.28,0,0.4501,1
C00395,139,338,7,1750.41,12252.89,0,0.3004,1
C00396,1183,262,6,1719.19,10315.16,0,0.105,0
C00397,523,205,2,1183.97,2367.93,1,0.0664,1
C00398,754,102,8,766.24,6129.95,1,0.293,0
C00399,1399,131,3,1063.65,3190.96,0,0.1633,0
C00400,1057,339,8,1934.95,15479.58,0,0.1753,1
C00401,849,88,8,962.74,7701.95,1,0.3826,0
C00402,840,40,4,732.22,2928.88,1,0.3584,0
C00403,1427,128,7,789.43,5526.03,0,0.4057,0
C00404,564,141,7,1443.96,10107.72,0,0.2384,0
C00405,267,21,3,1441.07,4323.21,0,0.1467,0
C00406,1388,210,10,901.78,9017.85,0,0.2416,0
C00407,130,223,4,969.72,3878.87,1,0.2093,1
C00408,1281,360,6,911.69,5470.14,1,0.3854,1
C00409,999,102,6,609.3,3655.79,0,0.4205,1
C00410,313,115,6,828.84,4973.02,0,0.1718,1
C00411,439,349,3,1631.3,4893.91,0,0.1075,0
C00412,617,174,6,759.97,4559.84,1,0.3687,0
C00413,870,57,5,916.38,4581.91,1,0.1757,0
C00414,774,232,6,794.95,4769.69,0,0.2425,0
C00415,568,185,4,1449.2,5796.81,0,0.3116,1
C00416,833,219,8,705.59,5644.74,1,0.4982,1
C00417,396,289,4,746.75,2986.99,0,0.3818,1
C00418,32,367,4,1204.91,4819.63,2,0.1423,1
C00419,159,301,5,794.38,3971.9,1,0.2091,1
C00420,530,312,10,842.92,8429.24,1,0.1451,0
C00421,841,88,6,1739.12,10434.74,1,0.2902,1
C00422,194,352,10,2094.93,20949.3,2,0.2167,1
C00423,109,380,7,758.0,5306.01,0,0.3435,1
C00424,1158,43,4,2233.53,8934.11,0,0.2527,0
C00425,1085,379,2,1114.39,2228.78,1,0.2372,1
C00426,745,159,7,152.39,1066.7,0,0.1589,0
C00427,416,166,10,855.63,8556.28,0,0.1294,0
C00428,948,247,4,2776.63,11106.51,1,0.3133,1
C00429,238,183,4,1121.17,4484.68,1,0.4371,0
C00430,45,191,8,2100.13,16801.08,1,0.3027,1
C00431,1250,133,1,774.31,774.31,0,0.0749,1
C00432,1154,137,1,1357.74,1357.74,1,0.1814,0
C00433,1355,158,7,3278.27,22947.91,1,0.4634,0
C00434,1245,239,6,701.45,4208.7,0,0.1234,0
C00435,216,316,5,536.52,2682.58,2,0.2115,1
C00436,114,55,3,683.99,2051.96,0,0.1181,1
C00437,1428,203,7,687.56,4812.93,2,0.113,1
C00438,1329,197,10,1213.88,12138.75,1,0.0457,0
C00439,719,357,6,969.67,5818.04,0,0.3656,1
C00440,861,46,7,1584.71,11093.0,0,0.351,0
C00441,205,164,3,806.81,2420.42,2,0.2354,1
C00442,349,119,7,1557.66,10903.63,1,0.3755,1
C00443,572,277,8,562.53,4500.26,3,0.4118,1
C00444,372,45,6,825.87,4955.23,0,0.279,1
C00445,837,293,4,1359.65,5438.59,3,0.1626,1
C00446,598,391,3,1524.73,4574.19,0,0.3092,1
C00447,416,133,6,840.02,5040.14,1,0.1987,0
C00448,376,125,4,2428.29,9713.16,0,0.2998,1
C00449,1177,364,8,1508.82,12070.56,0,0.2525,1
C00450,978,100,13,2144.59,27879.63,1,0.1333,0
C00451,202,203,6,428.9,2573.38,0,0.2248,0
C00452,1142,51,2,1336.78,2673.56,1,0.4611,0
C00453,1330,202,5,1854.61,9273.06,0,0.2848,0
C00454,403,327,8,2370.26,18962.11,0,0.3063,0
C00455,643,19,2,1454.71,2909.42,0,0.1658,0
C00456,191,301,5,1016.05,5080.25,0,0.4371,1
C00457,1466,339,5,193.09,965.43,0,0.0759,0
C00458,1090,50,2,704.63,1409.25,1,0.4406,1
C00459,688,244,8,3708.72,29669.77,0,0.2223,0
C00460,157,236,6,480.88,2885.26,1,0.4994,1
C00461,54,91,8,1585.96,12687.71,2,0.0834,0
C00462,700,15,6,391.25,2347.49,3,0.2221,0
C00463,603,125,5,768.53,3842.65,1,0.3577,0
C00464,663,230,2,658.58,1317.15,0,0.1397,1
C00465,609,146,4,1373.18,5492.73,0,0.1633,0
C00466,1428,21,9,693.8,6244.18,1,0.2036,0
C00467,557,333,8,2266.68,18133.47,2,0.242,1
C00468,635,304,5,396.35,1981.76,1,0.0688,0
C00469,1136,322,6,923.46,5540.78,2,0.5398,1
C00470,543,351,6,440.83,2644.97,0,0.2771,1
