series_id,date,units_sold,revenue,price,marketing_spend,promotion_flag
S000,2023-01-01,199,364808.79,1833.21,803.5,0
S000,2023-01-02,155,284147.55,1833.21,931.48,0
S000,2023-01-03,160,293313.6,1833.21,1014.11,0
S000,2023-01-04,151,276814.71,1833.21,994.65,0
S000,2023-01-05,143,262149.03,1833.21,872.06,0
S000,2023-01-06,160,293313.6,1833.21,952.7,0
S000,2023-01-07,204,373974.84,1833.21,964.58,0
S000,2023-01-08,274,426954.61,1558.2285,1037.05,1
S000,2023-01-09,143,262149.03,1833.21,1036.63,0
S000,2023-01-10,153,280481.13,1833.21,958.38,0
S000,2023-01-11,139,254816.19,1833.21,1118.77,0
S000,2023-01-12,154,282314.34,1833.21,946.99,0
S000,2023-01-13,151,276814.71,1833.21,1081.9,0
S000,2023-01-14,228,417971.88,1833.21,1050.95,0
S000,2023-01-15,215,394140.15,1833.21,1069.14,0
S000,2023-01-16,131,240150.51,1833.21,1083.37,0
S000,2023-01-17,140,256649.4,1833.21,1035.17,0
S000,2023-01-18,138,252982.98,1833.21,1047.16,0
S000,2023-01-19,147,269481.87,1833.21,1169.73,0
S000,2023-01-20,158,289647.18,1833.21,1102.85,0
S000,2023-01-21,261,406697.64,1558.2285,1168.46,1
S000,2023-01-22,195,357475.95,1833.21,1181.6,0
S000,2023-01-23,153,280481.13,1833.21,1004.61,0
S000,2023-01-24,145,265815.45,1833.21,1129.22,0
S000,2023-01-25,146,267648.66,1833.21,1137.25,0
S000,2023-01-26,146,267648.66,1833.21,1171.13,0
S000,2023-01-27,155,284147.55,1833.21,1099.76,0
S000,2023-01-28,223,408805.83,1833.21,1097.53,0
S000,2023-01-29,216,395973.36,1833.21,1187.76,0
S000,2023-01-30,129,236484.09,1833.21,1112.78,0
S000,2023-01-31,136,249316.56,1833.21,1023.32,0
S000,2023-02-01,147,269481.87,1833.21,1198.79,0
S000,2023-02-02,163,298813.23,1833.21,1286.48,0
S000,2023-02-03,138,252982.98,1833.21,1084.54,0
S000,2023-02-04,187,342810.27,1833.21,1143.52,0
S000,2023-02-05,209,383140.89,1833.21,1218.74,0
S000,2023-02-06,142,260315.82,1833.21,1048.52,0
S000,2023-02-07,171,313478.91,1833.21,1206.8,0
S000,2023-02-08,153,280481.13,1833.21,1166.11,0
S000,2023-02-09,162,296980.02,1833.21,1211.16,0
S000,2023-02-10,138,252982.98,1833.21,1226.13,0
S000,2023-02-11,210,384974.1,1833.21,1136.08,0
S000,2023-02-12,211,386807.31,1833.21,1069.73,0
S000,2023-02-13,153,280481.13,1833.21,1062.45,0
S000,2023-02-14,189,346476.69,1833.21,1276.86,0
S000,2023-02-15,127,232817.67,1833.21,1238.53,0
S000,2023-02-16,147,269481.87,1833.21,1225.47,0
