series_id,date,units_sold,price,marketing_spend,promotion_flag
s1,2025-01-01,30,500.0,1000.0,0
s1,2025-01-02,31,500.0,1050.0,0
s1,2025-01-03,32,500.0,1100.0,0
s1,2025-01-04,33,500.0,1150.0,0
s1,2025-01-05,34,500.0,1200.0,0
s1,2025-01-06,35,500.0,1250.0,0
s1,2025-01-07,36,500.0,1300.0,0
s1,2025-01-08,37,500.0,1000.0,0
s1,2025-01-09,38,500.0,1050.0,0
s1,2025-01-10,39,500.0,1100.0,0
s1,2025-01-11,40,500.0,1150.0,0
s1,2025-01-12,30,500.0,1200.0,0
s1,2025-01-13,31,500.0,1250.0,0
s1,2025-01-14,32,500.0,1300.0,0
s1,2025-01-15,33,500.0,1000.0,0
s1,2025-01-16,34,500.0,1050.0,0
s1,2025-01-17,35,500.0,1100.0,0
s1,2025-01-18,36,500.0,1150.0,0
s1,2025-01-19,37,500.0,1200.0,0
s1,2025-01-20,38,500.0,1250.0,0
s1,2025-01-21,39,500.0,1300.0,0
s1,2025-01-22,40,500.0,1000.0,0
s1,2025-01-23,30,500.0,1050.0,0
s1,2025-01-24,31,500.0,1100.0,0
s1,2025-01-25,32,500.0,1150.0,0
s1,2025-01-26,33,500.0,1200.0,0
s1,2025-01-27,34,500.0,1250.0,0
s1,2025-01-28,35,500.0,1300.0,0
s1,2025-01-29,36,500.0,1000.0,0
s1,2025-01-30,37,500.0,1050.0,0
s1,2025-01-31,38,500.0,1100.0,0
s1,2025-02-01,39,500.0,1150.0,0
s1,2025-02-02,40,500.0,1200.0,0
s1,2025-02-03,30,500.0,1250.0,0
s1,2025-02-04,31,500.0,1300.0,0
s1,2025-02-05,32,500.0,1000.0,0
s1,2025-02-06,33,500.0,1050.0,0
s1,2025-02-07,34,500.0,1100.0,0
s1,2025-02-08,35,500.0,1150.0,0
s1,2025-02-09,36,500.0,1200.0,0
s1,2025-02-10,37,500.0,1250.0,0
s1,2025-02-11,38,500.0,1300.0,0
s1,2025-02-12,39,500.0,1000.0,0
s1,2025-02-13,40,500.0,1050.0,0
s1,2025-02-14,30,500.0,1100.0,0
s1,2025-02-15,31,500.0,1150.0,0
s1,2025-02-16,32,500.0,1200.0,0
s1,2025-02-17,33,500.0,1250.0,0
s1,2025-02-18,34,500.0,1300.0,0
s1,2025-02-19,35,500.0,1000.0,0
s1,2025-02-20,36,500.0,1050.0,0
s1,2025-02-21,37,500.0,1100.0,0
s1,2025-02-22,38,500.0,1150.0,0
s1,2025-02-23,39,500.0,1200.0,0
s1,2025-02-24,40,500.0,1250.0,0
s1,2025-02-25,30,500.0,1300.0,0
s1,2025-02-26,31,500.0,1000.0,0
s1,2025-02-27,32,500.0,1050.0,0
s1,2025-02-28,33,500.0,1100.0,0
s1,2025-03-01,34,500.0,1150.0,0
s1,2025-03-02,35,500.0,1200.0,0
s1,2025-03-03,36,500.0,1250.0,0
s1,2025-03-04,37,500.0,1300.0,0
s1,2025-03-05,38,500.0,1000.0,0
s1,2025-03-06,39,500.0,1050.0,0
s1,2025-03-07,40,500.0,1100.0,0
s1,2025-03-08,30,500.0,1150.0,0
s1,2025-03-09,31,500.0,1200.0,0
s1,2025-03-10,32,500.0,1250.0,0
s1,2025-03-11,33,500.0,1300.0,0
s1,2025-03-12,34,500.0,1000.0,0
s1,2025-03-13,35,500.0,1050.0,0
s1,2025-03-14,36,500.0,1100.0,0
s1,2025-03-15,37,500.0,1150.0,0
s1,2025-03-16,38,500.0,1200.0,0
s1,2025-03-17,39,500.0,1250.0,0
s1,2025-03-18,40,500.0,1300.0,0
s1,2025-03-19,30,500.0,1000.0,0
s1,2025-03-20,31,500.0,1050.0,0
s1,2025-03-21,32,500.0,1100.0,0
s1,2025-03-22,33,500.0,1150.0,0
s1,2025-03-23,34,500.0,1200.0,0
s1,2025-03-24,35,500.0,1250.0,0
s1,2025-03-25,36,500.0,1300.0,0
s1,2025-03-26,37,500.0,1000.0,0
s1,2025-03-27,38,500.0,1050.0,0
s1,2025-03-28,39,500.0,1100.0,0
s1,2025-03-29,40,500.0,1150.0,0
s1,2025-03-30,30,500.0,1200.0,0
s1,2025-03-31,31,500.0,1250.0,0
s1,2025-04-01,32,500.0,1300.0,0
s1,2025-04-02,33,500.0,1000.0,0
s1,2025-04-03,34,500.0,1050.0,0
s1,2025-04-04,35,500.0,1100.0,0
s1,2025-04-05,36,500.0,1150.0,0
s1,2025-04-06,37,500.0,1200.0,0
s1,2025-04-07,38,500.0,1250.0,0
s1,2025-04-08,39,500.0,1300.0,0
s1,2025-04-09,40,500.0,1000.0,0
s1,2025-04-10,30,500.0,1050.0,0
s1,2025-04-11,31,500.0,1100.0,0
s1,2025-04-12,32,500.0,1150.0,0
s1,2025-04-13,33,500.0,1200.0,0
s1,2025-04-14,34,500.0,1250.0,0
s1,2025-04-15,35,500.0,1300.0,0
s1,2025-04-16,36,500.0,1000.0,0
s1,2025-04-17,37,500.0,1050.0,0
s1,2025-04-18,38,500.0,1100.0,0
s1,2025-04-19,39,500.0,1150.0,0
s1,2025-04-20,40,500.0,1200.0,0
s1,2025-04-21,30,500.0,1250.0,0
s1,2025-04-22,31,500.0,1300.0,0
s1,2025-04-23,32,500.0,1000.0,0
s1,2025-04-24,33,500.0,1050.0,0
s1,2025-04-25,34,500.0,1100.0,0
s1,2025-04-26,35,500.0,1150.0,0
s1,2025-04-27,36,500.0,1200.0,0
s1,2025-04-28,37,500.0,1250.0,0
s1,2025-04-29,38,500.0,1300.0,0
s1,2025-04-30,39,500.0,1000.0,0
s1,2025-05-01,40,500.0,1050.0,0
s1,2025-05-02,30,500.0,1100.0,0
s1,2025-05-03,31,500.0,1150.0,0
s1,2025-05-04,32,500.0,1200.0,0
s1,2025-05-05,33,500.0,1250.0,0
s1,2025-05-06,34,500.0,1300.0,0
s1,2025-05-07,35,500.0,1000.0,0
s1,2025-05-08,36,500.0,1050.0,0
s1,2025-05-09,37,500.0,1100.0,0
s1,2025-05-10,38,500.0,1150.0,0
s1,2025-05-11,39,500.0,1200.0,0
s1,2025-05-12,40,500.0,1250.0,0
s1,2025-05-13,30,500.0,1300.0,0
s1,2025-05-14,31,500.0,1000.0,0
s1,2025-05-15,32,500.0,1050.0,0
s1,2025-05-16,33,500.0,1100.0,0
s1,2025-05-17,34,500.0,1150.0,0
s1,2025-05-18,35,500.0,1200.0,0
s1,2025-05-19,36,500.0,1250.0,0
s1,2025-05-20,37,500.0,1300.0,0
s1,2025-05-21,38,500.0,1000.0,0
s1,2025-05-22,39,500.0,1050.0,0
s1,2025-05-23,40,500.0,1100.0,0
s1,2025-05-24,30,500.0,1150.0,0
s1,2025-05-25,31,500.0,1200.0,0
s1,2025-05-26,32,500.0,1250.0,0
s1,2025-05-27,33,500.0,1300.0,0
s1,2025-05-28,34,500.0,1000.0,0
s1,2025-05-29,35,500.0,1050.0,0
s1,2025-05-30,36,500.0,1100.0,0
s1,2025-05-31,37,500.0,1150.0,0
s1,2025-06-01,38,500.0,1200.0,0
s1,2025-06-02,39,500.0,1250.0,0
s1,2025-06-03,40,500.0,1300.0,0
s1,2025-06-04,30,500.0,1000.0,0
s1,2025-06-05,31,500.0,1050.0,0
s1,2025-06-06,32,500.0,1100.0,0
s1,2025-06-07,33,500.0,1150.0,0
s1,2025-06-08,34,500.0,1200.0,0
s1,2025-06-09,35,500.0,1250.0,0
